                       RawText	                   WordsVector	                     Deceptive	             NumberOfSentences	                 NumberOfWords	          NumberOfComplexWords	             NumberOfSyllables	            NumberOfCharacters	             AvarageWordLength	     AutomatedReadabilityIndex	               SMOGReadability	          SMOGReadabilityIndex	              ColemanLiauIndex	               GunningFogIndex	 FleschKincaidReadabilityIndex	        FleschReadabilityIndex
We stayed here through Hotw...	[[We, stayed, here, through...	                         false	                           6.0	                         182.0	                          17.0	                         253.0	                         749.0	             4.236263736263736	                         13.12	                        12.745	                         12.22	                          8.44	                          15.6	                        12.643	                        58.443
My recent stay at the Amalf...	[[My, recent, stay, at, the...	                          true	                           3.0	                          61.0	                           5.0	                          81.0	                         254.0	             4.229508196721311	                         8.349	                        10.504	                        10.071	                         7.726	                          11.2	                         8.009	                        73.859
My stay at the Fairmont Chi...	[[My, stay, at, the, Fairmo...	                          true	                          12.0	                         231.0	                          20.0	                         321.0	                         952.0	             4.207792207792208	                         7.606	                        10.504	                        10.071	                         7.474	                          10.8	                         8.315	                        69.735
For the price of the Marrio...	[[For, the, price, of, the,...	                         false	                           6.0	                          96.0	                          11.0	                         139.0	                         425.0	                         4.625	                         7.422	                        10.864	                        10.416	                         9.276	                          10.8	                         7.735	                        68.101
My husband and I recently w...	[[My, husband, and, I, rece...	                          true	                          16.0	                         343.0	                          27.0	                         465.0	                        1393.0	             4.125730994152047	                         8.417	                         10.55	                        10.115	                         7.121	                          11.2	                         8.768	                        70.385
Overview: --Overrated hotel...	[[Overview:, --Overrated, h...	                         false	                          16.0	                         361.0	                          41.0	                         547.0	                        1631.0	            4.7569060773480665	                        11.131	                        12.274	                        11.768	                         9.811	                          13.2	                        11.089	                        55.745
My stay at the Ambassador E...	[[My, stay, at, the, Ambass...	                          true	                           9.0	                         113.0	                          10.0	                         153.0	                         456.0	             4.115044247787611	                         3.855	                         9.151	                         8.774	                         5.968	                           8.0	                         5.284	                        79.544
My experience with the Fair...	[[My, experience, with, the...	                          true	                           8.0	                         209.0	                          29.0	                         315.0	                         924.0	             4.433962264150943	                        12.456	                        14.006	                        13.428	                          9.24	                          15.6	                        12.383	                        52.811
We had a reservation for 3 ...	[[We, had, a, reservation, ...	                         false	                           9.0	                         134.0	                           6.0	                         177.0	                         523.0	            3.9130434782608696	                         4.398	                         7.794	                         7.472	                         5.189	                           7.2	                         5.803	                        79.975
My daughter wanted to spend...	[[My, daughter, wanted, to,...	                          true	                          10.0	                         208.0	                          22.0	                         306.0	                         907.0	             4.495145631067961	                         9.508	                        11.602	                        11.124	                         8.884	                          12.0	                         9.882	                        61.263
I want to issue a travel-wa...	[[I, want, to, issue, a, tr...	                         false	                           5.0	                         114.0	                          10.0	                         156.0	                         482.0	            4.3304347826086955	                         9.884	                        11.208	                        10.746	                         8.103	                          12.0	                         9.449	                        67.925
We always stay at the Shera...	[[We, always, stay, at, the...	                         false	                           4.0	                         101.0	                          12.0	                         148.0	                         434.0	            4.3431372549019605	                        11.434	                        13.024	                        12.487	                          8.51	                          14.4	                        11.549	                        57.238
Arrived at 1:30am only to f...	[[Arrived, at, 1:30am, only...	                         false	                           5.0	                          91.0	                           4.0	                         115.0	                         335.0	             3.791208791208791	                         5.009	                         8.239	                         7.899	                         4.883	                           8.8	                          6.42	                         81.45
We just returned from a wee...	[[We, just, returned, from,...	                         false	                          24.0	                         253.0	                          17.0	                         335.0	                        1038.0	                         4.268	                         3.165	                         7.937	                          7.61	                         6.365	                           6.4	                         4.146	                        84.115
While making the obligatory...	[[While, making, the, oblig...	                          true	                           5.0	                          70.0	                          11.0	                         106.0	                         301.0	             4.385714285714286	                         5.823	                        11.602	                        11.124	                         7.527	                          11.6	                         7.739	                        64.516
Stayed here for 4 nights in...	[[Stayed, here, for, 4, nig...	                         false	                           5.0	                          64.0	                          10.0	                          97.0	                         289.0	             4.553846153846154	                         6.239	                        11.208	                        10.746	                         8.797	                          10.8	                         7.286	                        65.621
MY WIFE AND I STAYED HERE L...	[[MY, WIFE, AND, I, STAYED,...	                          true	                          10.0	                          83.0	                           6.0	                         108.0	                         329.0	             4.072289156626506	                          1.39	                         7.554	                         7.243	                         4.547	                           6.0	                         3.001	                        88.329
I don't know how this hotel...	[[I, do, not, know, how, th...	                          true	                          10.0	                         139.0	                           7.0	                         188.0	                         561.0	             4.311111111111111	                         4.529	                         7.909	                         7.583	                         5.972	                           7.2	                         5.791	                        78.303
My husband and I decided to...	[[My, husband, and, I, deci...	                         false	                          10.0	                         128.0	                          18.0	                         193.0	                         576.0	             4.722222222222222	                         6.165	                        10.794	                        10.348	                         8.705	                          10.4	                         7.194	                        66.282
 While travelling for busin...	[[While, travelling, for, b...	                          true	                           6.0	                          99.0	                          20.0	                         158.0	                         481.0	             4.841584158415841	                         9.704	                        13.559	                          13.0	                        11.817	                          14.4	                         9.677	                        55.069
I stayed at the Allegro for...	[[I, stayed, at, the, Alleg...	                         false	                           4.0	                          97.0	                          12.0	                         142.0	                         429.0	                           4.5	                        11.526	                        13.024	                        12.487	                          9.25	                          14.4	                        11.142	                        58.374
I stayed at the Chicago Hil...	[[I, stayed, at, the, Chica...	                         false	                          23.0	                         396.0	                          37.0	                         546.0	                        1636.0	                        4.2075	                         6.637	                        10.375	                         9.947	                         7.533	                          10.4	                         7.394	                        72.714
I loved staying at the Hard...	[[I, loved, staying, at, th...	                          true	                           5.0	                         114.0	                           5.0	                         144.0	                         443.0	             3.991228070175439	                         8.273	                         8.842	                         8.477	                         6.088	                          10.4	                         8.207	                         76.83
I enjoyed a pleasant 2 nigh...	[[I, enjoyed, a, pleasant, ...	                          true	                           7.0	                          89.0	                          17.0	                         144.0	                         412.0	             4.730337078651686	                         6.731	                        12.032	                        11.536	                         9.466	                          12.4	                         8.461	                        57.049
The Conrad Chicago hotel ha...	[[The, Conrad, Chicago, hot...	                          true	                           8.0	                         117.0	                           6.0	                         150.0	                         457.0	             3.965811965811966	                          4.28	                         8.076	                         7.743	                         5.206	                           7.6	                         5.242	                        83.529
Amalifa Hotel in Chicago wa...	[[Amalifa, Hotel, in, Chica...	                          true	                           3.0	                          37.0	                          10.0	                          71.0	                         186.0	             5.081081081081081	                         8.414	                        13.559	                          13.0	                        11.809	                          15.6	                        11.863	                        31.976
My husband and I came to th...	[[My, husband, and, I, came...	                          true	                          10.0	                         160.0	                          15.0	                         233.0	                         706.0	             4.598726114649682	                         7.353	                        10.126	                         9.708	                          9.19	                          10.0	                         7.834	                        67.396
We really enjoyed our stay!...	[[We, really, enjoyed, our,...	                          true	                           4.0	                          72.0	                           8.0	                         103.0	                         317.0	             4.458333333333333	                         8.307	                        11.208	                        10.746	                         9.132	                          11.6	                         8.311	                         67.54
I stayed at Palmer House fo...	[[I, stayed, at, Palmer, Ho...	                         false	                           9.0	                         179.0	                          12.0	                         242.0	                         727.0	             4.122222222222222	                         7.644	                         9.726	                         9.325	                         7.122	                          10.0	                          8.12	                        72.272
We stay at Hilton for 4 nig...	[[We, stay, at, Hilton, for...	                         false	                          11.0	                         116.0	                           9.0	                         163.0	                         520.0	             4.566666666666666	                         4.957	                         8.296	                         7.954	                         8.603	                           6.8	                         5.104	                        77.254
My friends and I were in Ch...	[[My, friends, and, I, were...	                          true	                           7.0	                          88.0	                           9.0	                         128.0	                         384.0	             4.426966292134831	                         5.408	                         9.607	                         9.211	                         7.902	                           8.8	                         6.476	                         71.02
Just wanted to let everyone...	[[Just, wanted, to, let, ev...	                         false	                          12.0	                         249.0	                          14.0	                         314.0	                         990.0	                          4.02	                         7.672	                           9.3	                         8.916	                         6.618	                          10.0	                         7.383	                        79.089
I have visited Chicago with...	[[I, have, visited, Chicago...	                          true	                           8.0	                         164.0	                          15.0	                         228.0	                         703.0	             4.359756097560975	                          9.01	                        10.952	                          10.5	                         8.448	                          11.6	                          8.81	                        68.413
I truly enjoyed my stay at ...	[[I, truly, enjoyed, my, st...	                          true	                           5.0	                          82.0	                          10.0	                         122.0	                         359.0	             4.439024390243903	                         7.391	                        11.208	                        10.746	                         8.987	                          11.2	                         8.362	                        64.321
We were disappointed with t...	[[We, were, disappointed, w...	                         false	                           8.0	                         107.0	                          10.0	                         149.0	                         465.0	             4.388888888888889	                         5.726	                         9.516	                         9.124	                         7.797	                           8.8	                         6.058	                        75.452
While visiting the Chicago ...	[[While, visiting, the, Chi...	                          true	                           9.0	                         211.0	                          26.0	                         305.0	                         900.0	            4.3364928909952605	                        10.382	                        12.839	                        12.309	                         8.323	                          14.0	                         10.61	                         60.75
Set up an important meeting...	[[Set, up, an, important, m...	                          true	                           8.0	                         137.0	                          12.0	                         185.0	                         575.0	             4.318840579710145	                         6.901	                        10.126	                         9.708	                         7.921	                          10.0	                         7.023	                        75.212
Stayed here as a treat to m...	[[Stayed, here, as, a, trea...	                         false	                          13.0	                         185.0	                          14.0	                         238.0	                         746.0	             4.068783068783069	                         4.678	                         9.057	                         8.684	                         5.951	                           8.4	                         5.141	                        83.554
I was unimpressed by the qu...	[[I, was, unimpressed, by, ...	                          true	                           4.0	                          56.0	                           9.0	                          86.0	                         246.0	             4.464285714285714	                          6.26	                        11.698	                        11.216	                         8.074	                          12.0	                         7.991	                        62.704
This hotel was magnificent!...	[[This, hotel, was, magnifi...	                         false	                           6.0	                         110.0	                          15.0	                         164.0	                         475.0	            4.5046728971962615	                         8.075	                        12.162	                         11.66	                         8.634	                          12.4	                         9.153	                        62.096
The InterContinental Chicag...	[[The, InterContinental, Ch...	                          true	                           7.0	                         136.0	                          18.0	                         201.0	                         587.0	             4.333333333333333	                         8.613	                         12.29	                        11.783	                         8.622	                          12.8	                         9.427	                        62.081
We just got back from 3 nig...	[[We, just, got, back, from...	                         false	                          16.0	                         197.0	                          21.0	                         278.0	                         832.0	             4.455958549222798	                         4.618	                         9.674	                         9.275	                         7.076	                           8.8	                         5.864	                        74.953
We stayed in the Conrad for...	[[We, stayed, in, the, Conr...	                         false	                           8.0	                         107.0	                          15.0	                         165.0	                         522.0	             4.584745762711864	                         8.235	                        10.952	                          10.5	                        10.934	                          10.8	                         7.823	                        62.801
We booked this hotel for th...	[[We, booked, this, hotel, ...	                         false	                          10.0	                         124.0	                          13.0	                         179.0	                         550.0	                         4.775	                         5.661	                         9.643	                         9.245	                         8.325	                           8.8	                          6.28	                        72.125
I stayed at the Hard Rock h...	[[I, stayed, at, the, Hard,...	                          true	                           4.0	                          81.0	                           9.0	                         106.0	                         311.0	                        4.0125	                         6.779	                        11.698	                        11.216	                         5.815	                          12.4	                         7.749	                         75.57
While the hotel looked abso...	[[While, the, hotel, looked...	                          true	                           5.0	                          77.0	                           7.0	                         112.0	                         348.0	            4.8108108108108105	                         7.557	                         9.889	                         9.481	                          9.82	                           9.6	                          7.58	                        68.149
I recently stayed in the Ta...	[[I, recently, stayed, in, ...	                          true	                           9.0	                         111.0	                          14.0	                         165.0	                         475.0	             4.351351351351352	                         4.892	                        10.254	                         9.831	                         7.405	                           9.6	                         6.761	                         68.56
I love the Ambassador East,...	[[I, love, the, Ambassador,...	                         false	                          10.0	                         169.0	                          20.0	                         242.0	                         738.0	             4.518072289156627	                         7.588	                        11.208	                        10.746	                         8.921	                          10.8	                         7.898	                        68.538
So...the location to the Cl...	[[So...the, location, to, t...	                         false	                           5.0	                         100.0	                          11.0	                         146.0	                         440.0	             5.164835164835165	                         9.294	                        11.602	                        11.124	                         9.116	                          12.4	                         9.438	                        63.019
This was our third trip to ...	[[This, was, our, third, tr...	                         false	                          11.0	                         116.0	                          18.0	                         180.0	                         527.0	             4.559322033898305	                         5.241	                        10.437	                        10.006	                         8.959	                          10.0	                         6.833	                        64.856
I went to the Homewood Suit...	[[I, went, to, the, Homewoo...	                          true	                          12.0	                         201.0	                           8.0	                         263.0	                         766.0	              3.92964824120603	                         4.895	                         7.794	                         7.472	                         5.646	                           7.6	                         6.382	                        79.138
I was very satisfied after ...	[[I, was, very, satisfied, ...	                          true	                           4.0	                          43.0	                           7.0	                          71.0	                         203.0	             4.813953488372093	                         6.181	                        10.686	                        10.246	                        10.006	                          10.4	                         8.086	                        56.235
My husband and I stayed in ...	[[My, husband, and, I, stay...	                          true	                           6.0	                          89.0	                           9.0	                         120.0	                         358.0	             4.044943820224719	                         4.933	                        10.126	                         9.708	                         5.892	                           9.6	                         6.105	                        77.712
The Talbott is definitely n...	[[The, Talbott, is, definit...	                          true	                           8.0	                          92.0	                          12.0	                         144.0	                         414.0	            4.6521739130434785	                         5.515	                        10.126	                         9.708	                         8.705	                           9.6	                         7.365	                        62.745
I went here with the family...	[[I, went, here, with, the,...	                          true	                           5.0	                          79.0	                           6.0	                         111.0	                         323.0	            4.2025316455696204	                         5.727	                         9.387	                           9.0	                         7.282	                           8.8	                         7.152	                         71.93
The service was only subpar...	[[The, service, was, only, ...	                          true	                           3.0	                          63.0	                           4.0	                          88.0	                         265.0	             4.253968253968254	                         8.882	                         9.726	                         9.325	                         7.975	                          10.8	                         9.083	                        67.349
I travelled to Chicago last...	[[I, travelled, to, Chicago...	                         false	                           9.0	                          88.0	                           9.0	                         127.0	                         391.0	             4.545454545454546	                         4.386	                         8.842	                         8.477	                          7.37	                           7.6	                         5.253	                        74.817
Well, this used to be a Le ...	[[Well, this, used, to, be,...	                         false	                          11.0	                         223.0	                          14.0	                         296.0	                         887.0	             4.118181818181818	                         7.441	                         9.574	                         9.179	                         6.628	                          10.4	                         7.979	                        73.964
When I was asked to stay at...	[[When, I, was, asked, to, ...	                          true	                           8.0	                         110.0	                          15.0	                         163.0	                         457.0	             4.284403669724771	                         5.013	                        10.952	                          10.5	                          6.67	                          10.4	                         7.258	                        67.517
My stay here was superb. Th...	[[My, stay, here, was, supe...	                          true	                           7.0	                          79.0	                          10.0	                         113.0	                         341.0	             4.405063291139241	                         4.543	                         9.957	                         9.547	                         7.624	                           9.2	                          5.69	                         74.37
We stayed at the Ritz Carlt...	[[We, stayed, at, the, Ritz...	                         false	                          13.0	                         284.0	                          16.0	                         378.0	                        1201.0	             4.453900709219858	                         9.411	                         9.467	                         9.076	                         8.108	                          10.4	                         8.636	                         72.06
I stayed at the Hyatt for a...	[[I, stayed, at, the, Hyatt...	                         false	                           5.0	                          83.0	                           7.0	                         113.0	                         350.0	              4.27710843373494	                         6.731	                         9.889	                         9.481	                         8.037	                           9.6	                         6.949	                        74.808
I stayed at ICH Chicago for...	[[I, stayed, at, ICH, Chica...	                         false	                           7.0	                         101.0	                          13.0	                         150.0	                         422.0	             4.203883495145631	                         5.464	                        10.914	                        10.464	                          6.81	                          10.4	                         7.562	                        66.546
